topic,english,ipa,type,vietnamese,synced
Từ vựng về quần áo,t-shirt,/ˈtiː ʃɜːrt/,n,áo phông,True
Từ vựng về quần áo,raincoat,/ˈreɪnkəʊt/,n,áo mưa,True
Từ vựng về quần áo,anorak,/ˈænəræk/,n,áo khoác có mũ,True
Từ vựng tiếng Anh về tính cách,Clever,/ˈklɛvər/,adj,"Khéo léo, thông minh, lanh lợi",True
Từ vựng tiếng Anh về tính cách,Cold,/koʊld/,adj,Lạnh lùng,True
Từ vựng tiếng Anh về tính cách,Competitive,/kəmˈpɛtətɪv/,adj,"Ganh đua, thích cạnh tranh",True
Từ vựng tiếng Anh về tính cách,Confident,/ˈkɑnfədənt/,adj,Tự tin,True
Từ vựng tiếng Anh về tính cách,Considerate,/kənˈsɪdərət/,adj,"Chu đáo, ân cần",True
Từ vựng tiếng Anh về tính cách,Diligent,/ˈdɪlədʒənt/,adj,"Siêng năng, cần cù",True
Từ vựng tiếng Anh về tính cách,Dynamic,/daɪˈnæmɪk/,adj,"Năng động, năng nổ, sôi nổi",True
Từ vựng tiếng Anh về tính cách,Faithful,/ˈfeɪθfl/,adj,"Chung thủy, trung thành, trung thực",True
Từ vựng tiếng Anh về tính cách,Fawning,/ˈfɔnɪŋ/,adj,"Nịnh hót, xu nịnh",True
Từ vựng tiếng Anh về tính cách,Intelligent,/ɪnˈtɛlədʒənt/,adj,"Thông minh, sáng dạ",True
Từ vựng tiếng Anh về tính cách,Jealous,/ˈdʒɛləs/,adj,"Ghen ghét, ghen tị",True
Từ vựng tiếng Anh về tính cách,Kind,/kaɪnd/,adj,"Tốt bụng, tử tế",True
Từ vựng tiếng Anh về rau củ quả,Beetroot,/ˈbiːtruːt/,n,củ cải đường,True
Từ vựng tiếng Anh về rau củ quả,Squash,/skwɑːʃ/,n,bí,True
Từ vựng tiếng Anh về rau củ quả,Cucumber,/ˈkjuːkʌmbər/,n,dưa chuột,True
Từ vựng tiếng Anh về rau củ quả,Potato,/pəˈteɪtoʊ/,n,khoai tây,True
Từ vựng tiếng Anh về rau củ quả,Garlic,/ˈɡɑːrlɪk/,n,tỏi,True
Từ vựng tiếng Anh về rau củ quả,Onion,/ˈʌnjən/,n,hành,True
Từ vựng tiếng Anh về rau củ quả,Radish,/ˈrædɪʃ/,n,củ cải,True
Từ vựng tiếng Anh về rau củ quả,Tomato,/təˈmeɪtoʊ/,n,cà chua,True
Từ vựng tiếng Anh về rau củ quả,Marrow,/ˈmæroʊ/,n,bí xanh,True
Từ vựng tiếng Anh về rau củ quả,Hot pepper,/hɑːtˈpepər/,n,ớt cay,True
chủ đề môi trường,Industrial waste,/ɪnˈdʌstrɪəl weɪst/,n,chất thải công nghiệp,True
chủ đề môi trường,Natural resources,/ˈnæʧrəl rɪˈsɔːsɪz/,n,tài nguyên thiên nhiên,True
chủ đề môi trường,Oil spill,/ɔɪl spɪl/,n,sự cố tràn dầu,True
chủ đề môi trường,Ozone layer,/ˈəʊzəʊn ˈleɪə/,n,tầng ô-zôn,True
chủ đề môi trường,Pollution,/pəˈluːʃən/,n,sự ô nhiễm,True
chủ đề môi trường,Preservation,/ˌprɛzəːˈveɪʃən/,n,sự bảo tồn,True
chủ đề môi trường,Rainforest,/ˈreɪnˌfɒrɪst/,n,rừng nhiệt đới,True
chủ đề môi trường,Sea level,/siːˈlɛvl/,n,mực nước biển,True
chủ đề môi trường,Sewage,/ˈsjuːɪʤ/,n,nước thải,True
chủ đề môi trường,Soil,/sɔɪl/,n,đất,True
chủ đề môi trường,Solar power,/ˈsəʊlə ˈpaʊə/,n,năng lượng mặt trời,True
Từ vựng tiếng Anh về con vật,Lamb,/læm/,n,Cừu con,True
Từ vựng tiếng Anh về con vật,Herd of cow,/hɜːd əv kaʊ/,n,Đàn bò,True
Từ vựng tiếng Anh về con vật,Chicken,/ˈtʃɪk.ɪn/,n,Gà,True
Từ vựng tiếng Anh về con vật,Flock of sheep,/flɒk əv ʃiːp/,n,Bầy cừu,True
Từ vựng tiếng Anh về con vật,Horseshoe,/ˈhɔːs.ʃuː/,n,Móng ngựa,True
Từ vựng tiếng Anh về con vật,Donkey,/ˈdɒŋ.ki/,n,Con lừa,True
Từ vựng tiếng Anh về con vật,Piglet,/ˈpɪg.lət/,n,Lợn con,True
Từ vựng tiếng Anh về con vật,Female,/ˈfiː.meɪl/,n,Giống cái,True
Từ vựng tiếng Anh về con vật,Male,/meɪl/,n,Giống đực,True
Từ vựng tiếng Anh về con vật,Horse,/hɔːs/,n,Ngựa,True
chủ đề đồ ăn,Bake,/beɪk/,v,Nướng bánh,True
chủ đề đồ ăn,Beef,/bif/,n,Thịt bò,True
chủ đề đồ ăn,Beer,/bɪr/,n,Bia,True
chủ đề đồ ăn,Boil,/bɔɪl/,v,"Luộc, đun sôi",True
chủ đề đồ ăn,Bread,/brɛd/,n,Bánh mì,True
chủ đề đồ ăn,Chicken,/ˈʧɪkən/,n,Thịt gà,True
chủ đề đồ ăn,Coffee,/ˈkɑfi/,n,Cà phê,True
chủ đề đồ ăn,Delicious,/dɪˈlɪʃəs/,adj,Ngon lành,True
chủ đề đồ ăn,Drink,/drɪŋk/,v,Uống,True
chủ đề đồ ăn,Eat,/it/,v,Ăn,True
Từ vựng về trường học,Biology,/baɪˈɑːlədʒi/,n,Sinh học,True
Từ vựng về trường học,Archaeology,/ˌɑːrkiˈɑːlədʒi/,n,Khảo cổ học,True
Từ vựng về trường học,Math,/mæθ/,n,Toán học,True
Từ vựng về trường học,Astronomy,/əˈstrɑːnəmi/,n,Thiên văn học,True
Từ vựng về trường học,Physics,/ˈfɪzɪks/,n,Vật lý,True
Từ vựng về trường học,Linguistics,/ˈfɪzɪks/,n,Ngôn ngữ học,True
Từ vựng về trường học,Chemistry,/ˈkemɪstri/,n,Hóa học,True
Từ vựng về trường học,Engineering,/ˌendʒɪˈnɪrɪŋ/,n,Kỹ thuật,True
Từ vựng về trường học,Science,/ˈsaɪəns/,n,Khoa học,True
Từ vựng về trường học,Medicine,/ˈmedɪsn/,n,Y học,True
Từ vựng về trường học,Literature,/ˈlɪtrətʃʊr/,n,Văn học,True
chủ đề du lịch,Sleeping bag,/ˈsliːpɪŋ baɡ/,n,túi ngủ,True
chủ đề du lịch,Lighter,/ˈlaɪtə/,n,bật lửa,True
chủ đề du lịch,Tent,/tent/,n,lều,True
chủ đề du lịch,Penknife,/ˈpennaɪf/,n,dao gấp,True
chủ đề du lịch,Backpack,/ˈbækpæk/,n,balo,True
chủ đề du lịch,Axe,/æks/,n,cái rìu,True
chủ đề du lịch,Lantern,/ˈlæntərn/,n,đèn xách tay,True
chủ đề du lịch,Campfire,/ˈkæmpfaɪər/,n,lửa trại,True
chủ đề du lịch,Mat,/mæt/,n,tấm thảm,True
chủ đề du lịch,Barbecue,/ˈbɑːbɪkjuː/,n,lò nướng ngoài trời,True
chủ đề du lịch,Folding chair,/ˈfəʊldɪŋ ʧeə/,n,ghế gấp,True
Từ vựng tiếng Anh về màu sắc,Violet,/ˈvaɪə.lət/,adj,tím,True
Từ vựng tiếng Anh về màu sắc,Purple,/`pə:pl/,adj,màu tím,True
Từ vựng tiếng Anh về màu sắc,Bright red,/brait red/,adj,màu đỏ sáng,True
Từ vựng tiếng Anh về màu sắc,Bright green,/brait griːn/,adj,màu xanh lá cây tươi,True
Từ vựng tiếng Anh về màu sắc,Bright blue,/brait bluː/,adj,màu xanh nước biển tươi.,True
Từ vựng tiếng Anh về màu sắc,Dark brown,/dɑ:k braʊn/,adj,màu nâu đậm,True
Từ vựng tiếng Anh về màu sắc,Dark green,/dɑ:k griːn/,adj,màu xanh lá cây đậm,True
Từ vựng tiếng Anh về màu sắc,Dark blue,/dɑ:k bluː/,adj,màu xanh da trời đậm,True
Từ vựng tiếng Anh về màu sắc,Light brown,/lait braʊn/,adj,màu nâu nhạt,True
Từ vựng tiếng Anh về màu sắc,Light green,/lait griːn/,adj,màu xanh lá cây nhạt,True
Từ vựng tiếng Anh về màu sắc,Light blue,/lait bluː/,adj,màu xanh da trời nhạt,True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Multiplication,/mʌltɪplɪˈkeɪʃən/,n,Phép nhân,True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Numeric,/nju(ː)ˈmɛrɪk/,n,"Số học, thuộc về số học",True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Operation,/ɒpəˈreɪʃən/,n,Thao tác,True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Output,/ˈaʊtpʊt/,n,"Ra, đưa ra",True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Perform,/pəˈfɔːm/,v,"Tiến hành, thi hành",True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Process,/ˈprəʊsɛs/,v,Xử lý,True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Processor,/ˈprəʊsɛsə/,v,Bộ xử lý,True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Pulse,/pʌls/,n,Xung,True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Register,/ˈrɛʤɪstə/,v,"Thanh ghi, đăng ký",True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Signal,/ˈsɪgnl/,n,Tín hiệu,True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Solution,/səˈluːʃən/,n,"Giải pháp, lời giải",True
Từ vựng tiếng Anh chuyên ngành công nghệ thông tin,Store,/stɔː/,v,Lưu trữ,True
Từ vựng tiếng Anh chuyên ngành kế toán,Construction in progress,,,Chi phí xây dựng cơ bản dở dang,True
Từ vựng tiếng Anh chuyên ngành kế toán,Cost of goods sold,,,Giá vốn bán hàng,True
Từ vựng tiếng Anh chuyên ngành kế toán,Current assets,,,Tài sản lưu động và đầu tư ngắn hạn,True
Từ vựng tiếng Anh chuyên ngành kế toán,Current portion of long-term liabilities,,,Nợ dài hạn đến hạn trả,True
Từ vựng tiếng Anh chuyên ngành kế toán,Deferred expenses,,,Chi phí chờ kết chuyển,True
Từ vựng tiếng Anh chuyên ngành kế toán,Deferred revenue,,,Người mua trả tiền trước,True
Từ vựng tiếng Anh chuyên ngành kế toán,Depreciation of fixed assets,,,Hao mòn luỹ kế tài sản cố định hữu hình,True
Từ vựng tiếng Anh chuyên ngành kế toán,Depreciation of intangible fixed assets,,,Hoa mòn luỹ kế tài sản cố định vô hình,True
Từ vựng tiếng Anh chuyên ngành kế toán,Depreciation of leased fixed assets,,,Hao mòn luỹ kế tài sản cố định thuê tài chính,True
Từ vựng tiếng Anh chuyên ngành kế toán,Equity and funds,,,Vốn và quỹ,True
Từ vựng tiếng Anh chuyên ngành kế toán,Exchange rate differences,,,Chênh lệch tỷ giá,True
Từ vựng về giao thông,Learner driver,/ˌlɜːrnər ˈdraɪvər/,n,người tập lái,True
Từ vựng về giao thông,Passenger,/ˈpæsɪndʒər/,n,hành khách,True
Từ vựng về giao thông,to stall,/stɔːl/,,làm chết máy,True
Từ vựng về giao thông,tyre pressure,,,áp suất lốp,True
Từ vựng về giao thông,traffic light,/ˈtræfɪk laɪt/,n,đèn giao thông,True
Từ vựng về giao thông,speed limit,/ˈspiːd lɪmɪt/,n,giới hạn tốc độ,True
Từ vựng về giao thông,speeding fine,,,phạt tốc độ,True
Từ vựng về giao thông,level crossing,/ˌlevl ˈkrɔːsɪŋ/,n,đoạn đường ray giao đường cái,True
Từ vựng về giao thông,jump leads,/ˈdʒʌmp liːd/,n,dây sạc điện,True
Từ vựng về giao thông,oil,/ɔɪl/,n,dầu,True
Từ vựng tiếng Anh về cảm xúc,Disappointed,/ˌdɪsəˈpɔɪntɪd/,adj,thất vọng,True
Từ vựng tiếng Anh về cảm xúc,Ecstatic,/ɪkˈstætɪk/,adj,vô cùng hạnh phúc,True
Từ vựng tiếng Anh về cảm xúc,Enthusiastic,/ɪnθju:zi’æstɪk/,adj,nhiệt tình,True
Từ vựng tiếng Anh về cảm xúc,Excited,/Excited/,adj,"phấn khích, hứng thú",True
Từ vựng tiếng Anh về cảm xúc,Emotional,/ɪˈmoʊʃənl/,adj,dễ bị xúc động,True
Từ vựng tiếng Anh về cảm xúc,Envious,/ˈenviəs/,adj,"thèm muốn, đố kỵ",True
Từ vựng tiếng Anh về cảm xúc,Embarrassed,/ɪmˈbærəst/,v,hơi xấu hổ,True
Từ vựng tiếng Anh về cảm xúc,Frightened,/ˈfraɪtnd/,v,sợ hãi,True
Từ vựng tiếng Anh về cảm xúc,Frustrated,/frʌ’streɪtɪd/,v,tuyệt vọng,True
Từ vựng tiếng Anh về cảm xúc,Furious,/ˈfjʊriəs/,v,"giận giữ, điên tiết",True
Từ vựng tiếng Anh về cảm xúc,Great,/ɡreɪt/,adj,tuyệt vời,True
Từ vựng tiếng Anh về hoa quả,Jackfruit,/ˈjakˌfro͞ot/,n,Mít,True
Từ vựng tiếng Anh về hoa quả,Persimmon,/pə:’simən/,n,Hồng,True
Từ vựng tiếng Anh về hoa quả,Sapodilla,"/,sæpou’dilə/",n,"Sa bô chê, Hồng xiêm",True
Từ vựng tiếng Anh về hoa quả,Peach,/pi:tʃ/,n,Đào,True
Từ vựng tiếng Anh về hoa quả,Pineapple,/ˈpīˌnapəl/,n,"Thơm, Dứa, Khóm",True
Từ vựng tiếng Anh về hoa quả,Papaya,/pə’paiə/,n,Đu đủ,True
Từ vựng tiếng Anh về hoa quả,Dragon fruit,/ˈdræɡən fruːt/,n,Thanh long,True
Từ vựng tiếng Anh về hoa quả,Soursop,/ˈsou(ə)rˌsäp/,n,Mãng cầu,True
Từ vựng tiếng Anh về hoa quả,Rambutan,/ræm’bu:tən/,n,Chôm chôm,True
Từ vựng chuyên ngành marketing,Brand,/brænd/,n,thương hiệu,True
Từ vựng chuyên ngành marketing,Branded,/ˈbrændɪd/,n,Hàng hiệu,True
Từ vựng chuyên ngành marketing,Cost,/kɔːst/,n,Trị giá (hàng hóa),True
Từ vựng chuyên ngành marketing,Consumer,/kənˈsuːmər/,n,Người tiêu dùng,True
Từ vựng chuyên ngành marketing,Consume,/kənˈsuːm/,v,Tiêu dùng,True
Từ vựng chuyên ngành marketing,Costing,/ˈkɔːstɪŋ/,n,Dự toán,True
Từ vựng chuyên ngành marketing,Develop,/dɪˈveləp/,v,Sáng tạo hoặc cải tiến một sản phẩn hiện có,True
Từ vựng chuyên ngành marketing,Product development,,,Cải tiến sản phẩm,True
Từ vựng chuyên ngành marketing,Distribution,/ˌdɪstrɪˈbjuːʃn/,v,Phân phối (hàng hóa),True
Từ vựng chuyên ngành marketing,End-user,/ˌend ˈjuːzər/,n,Người tiêu dùng hàng hóa cuối cùng,True
Từ vựng chuyên ngành marketing,Image,/ˈɪmɪdʒ/,n,Hình tượng (của một công ty),True
chủ đề công việc,reception,/ri’sep∫n/,n,lễ tân,True
chủ đề công việc,health and safety,,n,sức khỏe và sự an toàn,True
chủ đề công việc,director,/di’rektə/,n,giám đốc,True
chủ đề công việc,owner,/´ounə/,n,chủ doanh nghiệp,True
chủ đề công việc,manager,/ˈmænәdʒər/,n,người quản lý,True
chủ đề công việc,boss,/bɔs/,n,sếp,True
chủ đề công việc,colleague,/ˈkɒli:g/,n,đồng nghiệp,True
chủ đề công việc,trainee,/trei’ni:/,n,nhân viên tập sự,True
chủ đề công việc,job description,/ˈdʒɑːb dɪskrɪpʃn/,n,mô tả công việc,True
chủ đề công việc,department,/di’pɑ:tmənt/,n,phòng ban,True
Từ vựng về giáng sinh,snow,/snoʊ/,adj,có tuyết rơi,True
Từ vựng về giáng sinh,snowflake,/ˈsnoʊ-fleɪk/,n,bông tuyết,True
Từ vựng về giáng sinh,pine,/paɪn/,n,cây thông,True
Từ vựng về giáng sinh,candle,/ˈkænd(ə)l/,n,cây nến,True
Từ vựng về giáng sinh,card,/kɑːrd/,n,thiệp chúc mừng,True
Từ vựng về giáng sinh,fireplace,/ˈfaɪr-pleɪs/,n,lò sưởi,True
Từ vựng về giáng sinh,firewood,/ˈfaɪr-wʊd/,n,củi khô,True
Từ vựng về giáng sinh,chimney,/ˈtʃɪm.ni/,n,ống khói,True
Từ vựng về giáng sinh,gift,/ɡɪft/,n,món quà,True
Từ vựng về giáng sinh,present,/ˈprɛzənt/,n,món quà,True
Từ vựng về giáng sinh,ribbon,/ˈrɪb.ən/,n,nơ ruy băng,True
Từ vựng về thời trang,wallet,/ˈwɔː.lɪt/,n,ví,True
Từ vựng về thời trang,sweatpants,/ˈswet.pænts/,n,quần nỉ,True
Từ vựng về thời trang,sneakers,/ˈsniː.kərz/,n,giày thể thao,True
Từ vựng về thời trang,sweatband,/ˈswet.bænd/,n,băng đeo (đầu hoặc tay khi chơi thể thao),True
Từ vựng về thời trang,tank top,/tæŋk.tɒp/,n,áo ba lỗ,True
Từ vựng về thời trang,shorts,/ʃɔːts/,n,quần đùi,True
Từ vựng về thời trang,long sleeve,/lɒŋ sliːv/,n,áo dài tay,True
Từ vựng về thời trang,belt,/belt/,n,thắt lưng,True
Từ vựng về thời trang,buckle,/ˈbʌ.kļ/,n,khóa thắt lưng,True
Từ vựng về thời trang,shopping bag,/ˈʃɒ.pɪŋ bæg/,n,túi đi chợ,True
Từ vựng về thời trang,sandal,/ˈsæn.dl/,n,dép quai hậu,True
Từ vựng tiếng Anh về nhà bếp,roasting pan,/ˈrəʊ.stɪŋ pæn/,n,chảo nướng (dùng nướng thức ăn trong lò,True
Từ vựng tiếng Anh về nhà bếp,dishtowel,/dɪʃ taʊəl/,n,khăn lau bát đĩa,True
Từ vựng tiếng Anh về nhà bếp,refrigerator,/rɪˈfrɪdʒ.ər.eɪ.təʳ/,n,tủ lạnh,True
Từ vựng tiếng Anh về nhà bếp,freezer,/ˈfriː.zəʳ/,n,ngăn lạnh,True
Từ vựng tiếng Anh về nhà bếp,ice tray,/aɪs treɪ/,n,khay đá,True
Từ vựng tiếng Anh về nhà bếp,cabinet,/ˈkæb.ɪ.nət/,n,tủ nhiều ngăn,True
Từ vựng tiếng Anh về nhà bếp,microwave oven,/ˈmaɪ.krəʊ.weɪv ˈʌv.ən/,n,lò vi sóng,True
Từ vựng tiếng Anh về nhà bếp,mixing bowl,/mɪksɪŋ bəʊl/,n,bát to để trộn,True
Từ vựng tiếng Anh về nhà bếp,rolling pin,/ˈrəʊ.lɪŋ pɪn/,n,trục cán bột,True
Từ vựng tiếng Anh về nhà bếp,cutting board,/ˈkʌt.ɪŋ bɔːd/,n,thớt,True
Từ vựng tiếng Anh về nhà bếp,counter,/ˈkaʊn.təʳ/,n,bề mặt chỗ nấu ăn,True
Từ vựng về các môn thể thao,Swimming,/ˈswɪmɪŋ/,n,bơi lội,True
Từ vựng về các môn thể thao,Ice-skating,/ˈaɪs skeɪt/,n,trượt băng,True
Từ vựng về các môn thể thao,water-skiing,/ˈwɔːtərskiːɪŋ/,n,lướt ván nước,True
Từ vựng về các môn thể thao,Hockey,/ˈhɑːki/,n,khúc côn cầu,True
Từ vựng về các môn thể thao,High jump,/ðə ˈhaɪ dʒʌmp/,n,nhảy cao,True
Từ vựng về các môn thể thao,Snooker,/ˈsnuːkər/,n,bi da,True
Từ vựng về các môn thể thao,Boxing,/ˈbɑːksɪŋ/,n,quyền anh,True
Từ vựng về các môn thể thao,Scuba diving,/ˈskuːbə daɪvɪŋ/,n,lặn,True
Từ vựng về các môn thể thao,Archery,/ˈɑːrtʃəri/,n,bắn cung,True
Từ vựng về các môn thể thao,Windsurfing,/ˈwɪndsɜːrfɪŋ/,n,lướt sóng,True
Từ vựng về thực phẩm,Anchovy,/ˈæntʃoʊvi/,n,cá cơm,True
Từ vựng về thực phẩm,Carp,/kɑːrp/,n,cá chép,True
Từ vựng về thực phẩm,Codfish,/ˈkɑːdfɪʃ/,n,cá thu,True
Từ vựng về thực phẩm,Goby,/ˈɡoʊbi/,n,cá bồng,True
Từ vựng về thực phẩm,Herring,/ˈherɪŋ/,n,cá trích,True
Từ vựng về thực phẩm,Tuna-fish,/’tju:nə fi∫/,n,cá ngừ đại dương,True
Từ vựng về thực phẩm,Eel,/iːl/,n,lươn,True
Từ vựng về thực phẩm,Shrimp,/ʃrɪmp/,n,tôm,True
Từ vựng về thực phẩm,Crab,/kræb/,n,cua,True
Từ vựng tiếng Anh miêu tả người,Aggressive,/əˈɡrɛsɪv/,adj,"Hung hăng, năng nổ",True
Từ vựng tiếng Anh miêu tả người,Ambitious,/æmˈbɪʃəs/,adj,Tham vọng,True
Từ vựng tiếng Anh miêu tả người,Artful,/ˈɑrtfl/,adj,"Xảo quyệt, tinh ranh",True
Từ vựng tiếng Anh miêu tả người,Bad-tempered,/ˌbæd ˈtempərd/,adj,Nóng tính,True
Từ vựng tiếng Anh miêu tả người,Boastful,/ˈboʊstfl/,adj,"Khoe khoang, khoác lác",True
Từ vựng tiếng Anh miêu tả người,Boring,/ˈbɔrɪŋ/,adj,"Nhàm chán, chán nản",True
Từ vựng tiếng Anh miêu tả người,Bossy,/ˈbɔsi/,adj,"Hống hách, hách dịch",True
Từ vựng tiếng Anh miêu tả người,Brave,/breɪv/,adj,"Dũng cảm, gan dạ",True
Từ vựng tiếng Anh miêu tả người,Calm,/kɑm/,adj,Điềm tĩnh,True
Từ vựng tiếng Anh miêu tả người,Careful,/ˈkɛrfl/,adj,"Cẩn thận, kỹ lưỡng",True
Từ vựng tiếng Anh miêu tả người,Careless,/ˈkɛrləs/,adj,"Bất cẩn, cẩu thả",True
Từ vựng tiếng Anh chuyên ngành luật,Actus reus,,,Khách quan của tội phạm,True
Từ vựng tiếng Anh chuyên ngành luật,Bail,/beɪl/,n,Tiền bảo lãnh,True
Từ vựng tiếng Anh chuyên ngành luật,Bench trial,,,Phiên xét xử bởi thẩm phán,True
Từ vựng tiếng Anh chuyên ngành luật,Commit,/kəˈmɪt/,v,"phạm (tội, lỗi). Phạm tội",True
Từ vựng tiếng Anh chuyên ngành luật,Crime,/kraɪm/,n,tội phạm,True
Từ vựng tiếng Anh chuyên ngành luật,Damages,/ˈdæmɪdʒ/,n,Khoản đền bù thiệt hại,True
Từ vựng tiếng Anh chuyên ngành luật,Defendant,/dɪˈfendənt/,n,bị cáo.,True
Từ vựng tiếng Anh chuyên ngành luật,Grand jury,/ˌɡrænd ˈdʒʊri/,n,Bồi thẩm đoàn,True
Từ vựng tiếng Anh chuyên ngành luật,General Election,/ˌdʒenrəl ɪˈlekʃn/,n,Tổng Tuyển Cử,True
Từ vựng về quốc gia,VietNam,/ˌvjɛtˈnɑːm/,,Việt Nam,True
Từ vựng về quốc gia,England,/ˈɪŋglənd/,,Anh,True
Từ vựng về quốc gia,ThaiLand,/ˈtaɪlænd/,,Thái Lan,True
Từ vựng về quốc gia,India,/ˈɪndɪə/,,Ấn Độ,True
Từ vựng về quốc gia,Singapore,/sɪŋgəˈpɔː/,,Singapore,True
Từ vựng về quốc gia,China,/ˈʧaɪnə/,,Trung Quốc,True
Từ vựng về quốc gia,Japan,/ʤəˈpæn/,,Nhật Bản,True
Từ vựng về quốc gia,Combodia,/Combodia/,,Campuchia,True
Từ vựng về quốc gia,Cuba,/ˈkjuːbə/,,Cu Ba,True
Từ vựng về quốc gia,France,/ˈfrɑːns/,,Pháp,True
Từ vựng tiếng Anh về côn trùng,Butterfly,/ˈbʌt.ə.flaɪ/,n,bướm,True
Từ vựng tiếng Anh về côn trùng,Moth,/mɒθ/,n,"bướm đêm, sâu bướm",True
Từ vựng tiếng Anh về côn trùng,Caterpillar,/ˈkæt.ə.pɪl.əʳ/,n,sâu bướm,True
Từ vựng tiếng Anh về côn trùng,Giant water bug,/ˈdʒaɪənt ˈwɔːtə bʌɡ/,n,cà cuống,True
Từ vựng tiếng Anh về côn trùng,Stink bug,/stɪŋk bʌɡ/,n,bọ xít,True
Từ vựng tiếng Anh về côn trùng,Cicada,/səˈkɑːdə/,n,ve sầu,True
Từ vựng tiếng Anh về côn trùng,Cockroach,/ˈkɒk.rəʊtʃ/,n,con gián,True
Từ vựng tiếng Anh về côn trùng,Cricket,/ˈkrɪk.ɪt/,n,con dế,True
Từ vựng tiếng Anh về côn trùng,Dragonfly,/ˈdrægən flaɪ/,n,chuồn chuồn,True
Từ vựng tiếng Anh về côn trùng,Damselfly,/ˈdæmzəl flaɪ/,n,chuồn chuồn kim,True
Từ vựng tiếng Anh về quân đội,Defense line,,,phòng tuyến,True
Từ vựng tiếng Anh về quân đội,Declassification,,,làm mất tính bí mật/ tiết lộ bí mật,True
Từ vựng tiếng Anh về quân đội,Drill,/drɪl/,n,sự tập luyện,True
Từ vựng tiếng Anh về quân đội,Drill-ground,,,"bãi tập, thao trường",True
