Tense,Exercise Type,Questions,Answers
,Bài tập 2: Hoàn thành câu sau ở thì quá khứ đơn,"1. It/ be/ sunny/ yesterday.
2. In 1991/ we/ move/ to another city.
3. When/ they/ get/ the first award?
4. She/ not/ go/ to the church/ 3 days ago.
5. How/ be/ Jimin/ yesterday?
6. They/ happy/ last holiday?
7. How/ you/ get there?
8. I/ play/ soccer/ last/ Sunday.
9. My/ friend/ make/ two/ cake/ two/ day/ ago.
10. She/ tell/ me/ her secret/ last night.","1. It was sunny yesterday.
2. In 1991, we moved to another city.
3. When did they get the first award?
4. She did not go to the church 3 days ago.
5. How was Jimin yesterday?
6. Were they happy last holiday?
7. How did you get there?
8. I played soccer last Sunday.
9. My friend made two cakes two days ago.
10. She told me about her secret last night.
6.Thì quá khứ tiếp diễn
6.
Thì quá khứ tiếp diễn
6.1 Tóm tắt kiến thức
6.1 Tóm tắt kiến thức
Cấu trúc
Cấu trúc
Cách dùng:
Cách dùng:
Nói đến một hành động/ sự việc đang diễn ra tại một thời điểm xác định trong quá khứ.
Diễn tả một hành động đang xảy ra trong quá khứ thì xuất hiện một hành động khác xen ngang (hành động xen vào thường được chia ở quá khứ đơn).
Diễn tả các hành động xảy ra song song cùng lúc
=>BÀI TẬP THÌ QUÁ KHỨ TIẾP DIỄN CÓ ĐÁP ÁN - GIỎI NGAY TRONG 5 PHÚT
6.2 Bài tập về thì quá khứ tiếp diễn
6.2 Bài tập về thì quá khứ tiếp diễn"
,Bài tập 1: Chia động từ trong ngoặc ở thì quá khứ tiếp diễn,"1. Lisa______ (swim) in the sea when the rain started.
2. Some people _______ (relax) by the pool and others ______ (play) tennis.
3. For the first two days of my holiday I ______ (stay) with my family.
4. While I was driving home, Jack _____ (try) desperately to contact me.
5. My sister ______ (watch) TV when he got home.","1. was swimming
2. were relaxing - were playing
3. was staying
4. was trying
5. was watching"
,Bài tập 2: Tự hoàn thành vế còn lại của các câu sau bằng thì quá khứ tiếp diễn,"1. At 8 o’clock last night, I _____________________________________
2. At 5 o’clock last Monday, _____________________________________
3. At 10:15 yesterday morning, __________________________________
4. At 7:45 last night, ___________________________________________
5. Half an hour ago, ___________________________________________
6. Suzy phoned us while we _____________________________________","1. At 8 o’clock last night, I was watching a comedy film.
2. At 5 o’clock last Monday, my mom was watering plants in the garden.
3. At 10:15 yesterday morning, my parents were cooking a meal.
4. At 7:45 last night, I was reading an interesting book.
5. Suzy phoned us while we were doing exercise.
ĐĂNG KÝ NGAY:
Đăng ký TEST ONLINE MIỄN PHÍ
Khóa học tiếng Anh giao tiếp OFFLINE
Khóa học tiếng Anh giao tiếp TRỰC TUYẾN NHÓM
Khóa học tiếng Anh giao tiếp 1 kèm 1
7.Thì quá khứ hoàn thành
7.
Thì quá khứ hoàn thành
7.1 Tóm tắt kiến thức
7.1 Tóm tắt kiến thức
Cấu trúc
Cấu trúc
Cách dùng
Cách dùng
Diễn tả một hành động/ sự việc đã xảy ra trướcmột thời điểmhoặcmột hành động/ sự việc kháctrong quá khứ.
một thời điểm
một hành động/ sự việc khác
Trongcâu điều kiện loại 3.
=>CÁC DẠNG BÀI TẬP THÌ QUÁ KHỨ HOÀN THÀNH TIẾP DIỄN CÓ ĐÁP ÁN
7.2 Bài tập về thì quá khứ hoàn thành
7.2 Bài tập về thì quá khứ hoàn thành"
,Bài tập 1: Chia động từ trong ngoặc ở thì quá khứ hoàn thành,"1. When I arrived Kathy ______(go) away.
2. If I ______(know) the truth, I wouldn’t have behaved like that.
3. By the time I met you, I ______(work) in that company for five years.
4. Sunny ______(study) in Korea before she did her masters at Harvard.
5. _____ the film ______(end) when he arrived at the cinema?","1. had gone
2. had known
3. had worked
4. had studied
5. Had the film ended"
,Bài tập 2: Viết lại câu dựa vào từ cho sẵn,"1. Kai had gone home before we arrived.
=> After _________________________________________________________
2. We closed the door, then we took a look around the shops.
=> Before ________________________________________________________
3. The light had gone out before they got out of the station.
=> When _________________________________________________________
4. After Lam had explained everything clearly, we started our work.
=> By the time _____________________________________________________
5. My sister had watered flowers in the garden by the time my mother came home.
=> Before _________________________________________________________","1. After Kai had gone home, we arrived.
2. Before we took a look around the shops, we had closed the door.
3. When they got out of the station, the light had gone out.
4. By the time we started our work, Lam had explained everything clearly.
5. Before my mother came home, my sister had watered flowers in the garden.
8.Thì quá khứ hoàn thành tiếp diễn
8.
Thì quá khứ hoàn thành tiếp diễn
8.1 Tóm tắt kiến thức
8.1 Tóm tắt kiến thức
Cấu trúc
Cấu trúc
Cách dùng:
Cách dùng:
Dùng để diễn tả một hành động đã xảy ra suốt một khoảng thời gian (gần như liên tục) trước khi một hành động khác xảy ra trong quá khứ.
Diễn tả một hành động kéo dài liên tục trước một mốc thời gian ở quá khứ.
Diễn tả một hành động kéo dài liên tục trước đó và dù đã kết thúc nhưng vẫn để lại ảnh hưởng, hậu quả tại một thời điểm nhất định trong quá khứ.
=>CÁC DẠNG BÀI TẬP THÌ QUÁ KHỨ HOÀN THÀNH TIẾP DIỄN CÓ ĐÁP ÁN
8.2 Bài tập về thì quá khứ hoàn thành tiếp diễn
8.2 Bài tập về thì quá khứ hoàn thành tiếp diễn"
,Bài tập 1: Chi động từ trong ngoặc ở thì quá khứ hoàn thành tiếp diễn,"1. Yesterday, my dad said he ______ (stop) smoking for 2 months.
2. The photographers ______(wait) hours for the stars to arrive at the 2023 Oscar ceremony.
3. We ______ (talk) on the phone when the rain poured down.
4. I felt ill because I ________________________ (drink) five cups of coffee.
5. She ______________________ (study) all day, so she was tired.","1. had been stopping
2. had been waiting
3. had been talking
4. had been drinking
5. had been studying"
,Bài tập 2: Chọn đáp án đúng cho câu,"1. Emily loves this writer’s books. She (has been reading / had been reading) them for years.
has been reading / had been reading
2. Her clothes were dirty because she (has been working / had been working) in the garden.
has been working / had been working
3. Where have you been? We (had been waiting / have been waiting) for his comeback for ages.
had been waiting / have been waiting
4. Jimmy hasn’t decided on a career yet, but he (has been thinking / had been thinking) about it lately.
has been thinking / had been thinking
5. After Sam (has been playing / had been playing) the violin for 5 years, she joined an orchestra.
has been playing / had been playing","1. has been reading
2. had been working
3. have been waiting
4. has been thinking
5. had been playing
9.Thì tương lai đơn
9.
Thì tương lai đơn
9.1 Tóm tắt kiến thức
9.1 Tóm tắt kiến thức
Cấu trúc
Cấu trúc
Cách dùng
Cách dùng
Diễn tả một dự đoán mang tính chủ quan, không dựa vào căn cứ.
Diễn tả một quyết định ngay tại thời điểm nói, một lời hứa, sự ngỏ ý…
Xuất hiện trongcâu điều kiện loại 1.
=>TỔNG HỢP BÀI TẬP THÌ TƯƠNG LAI ĐƠN THƯỜNG GẶP NHẤT, KÈM ĐÁP ÁN
9.2 Bài tập thì tương lai đơn
9.2 Bài tập thì tương lai đơn"
,Bài tập 1: Chia động từ trong ngoặc ở thì tương lai đơn,"1. I _____(help) her take care of her children tomorrow.
2. _____ you_____ (come) to work tomorrow?
3. _____ you_____ please (bring) me a cup of milk?
4. If it stops raining soon, we ______(go) to the church.
5. ____ we_____(start) again from the beginning?","1. will help
2. Will you come
3. Will you bring
4. will go
5. Will we start"
,Bài tập 2: Sắp xếp lại vị trí của từ để tạo thành các câu có nghĩa,"1. pretty/ caterpillar/ turn/ soon/ butterfly/ the/ a/ turn/ Will?
2. will/ Hong Kong/ they/ where/ stay/ when/ visit/ they/?
3. won’t/ out/ rains/ My mom/ not/ go/ if/ it
4. Helen/ that/ She/ come/ tonight/ hopes/ will/ to/ the/ party.","1. Will the caterpillar turn into a pretty butterfly soon?
2. Where will they stay when they visit Hong Kong?
3. My mom won’t go out if it rains.
4. She hopes that Helen will come to the party tonight.
10.Thì tương lai tiếp diễn
10.
Thì tương lai tiếp diễn
10.1 Tóm tắt kiến thức
10.1 Tóm tắt kiến thức
Cấu trúc
Cấu trúc
Cách dùng
Cách dùng
Diễn tả hành động đang diễn ra tại một thời điểm xác định trong tương lai hoặc sẽ diễn ra và kéo dài trong suốt một khoảng thời gian ở tương lai.
Diễn tả một kế hoạch/ dự tính trong tương lai, với khả năng rất cao sẽ xảy ra và thường gắn với một mốc thời gian trong tương lai.
=>TUYỂN TẬP BÀI TẬP THÌ TƯƠNG LAI TIẾP DIỄN CÓ ĐÁP ÁN
10.2 Bài tập về thì tương lai tiếp diễn
10.2 Bài tập về thì tương lai tiếp diễn"
,Bài tập 1: Chia động từ trong ngoặc ở thì tương lai tiếp diễn,"1. Tomorrow afternoon, Jennie _____(build) a new website.
2. This time next month, most people _____(use) the Internet for entertainment.
3. We _____(climb) the mountain at this time next Sunday.
4. They _____(not study) at 10 a.m tomorrow.
5. _____ she ______(do) the housework at 9 p.m tomorrow?","1. will be building
2. will be using
3. will be climbing
4. won’t be studying
5. Will she be doing"
,Bài tập 2: Viết lại thành câu có nghĩa (có chia động từ),"1. We/ be/ play/ soccer/ time/ tomorrow/ our friends.
2. Halan/ be/ study/ abroad/ time/ she/ graduate/ next year.
3. The children/ be/ live/ Ho Chi Minh city/ for/ 3 weeks.
4. Lam/ be/ do/ homework/ 8 a.m/ tomorrow morning/ so/ his sister/ not/ ask/ him/ go out.
5. They/ not/ be/ have/ lunch/ together/ when/ you/ come/ tomorrow.","1. We will be playing soccer at that time tomorrow with our friends.
2. Halan will be studying abroad by the time she graduates next year.
3. The children will be living in Ho Chi Minh city for 3 weeks.
4. Lam will be doing his homework at 8 a.m tomorrow morning, so his sister won't ask him to go out.
5. They won’t be having lunch together when you come tomorrow.
11.Thì tương lai hoàn thành
11.
Thì tương lai hoàn thành
11.1 Tóm tắt kiến thức
11.1 Tóm tắt kiến thức
Cấu trúc
Cấu trúc
Cách dùng
Cách dùng
Dùng để diễn tả một hành động đã xảy ra và hoàn tất trước một thời điểm hay một hành động khác ở trong tương lai.
=>TRỌN BỘ BÀI TẬP THÌ TƯƠNG LAI HOÀN THÀNH TIẾP DIỄN
11.2 Bài tập về thì tương lai hoàn thành
11.2 Bài tập về thì tương lai hoàn thành"
,Bài tập 1: Chia động từ trong ngoặc ở thì tương lai hoàn thành,"1. Susan_______ (finish) her homework before 9 o’clock this evening.
2. I _______ (spend) over 500,000 VND on online shopping by the end of the week.
3. I _______ (do) the job before the boss comes tomorrow.
4. By December all the leaves ________. (fall)
5. Be quick! The man _______ before you rescue it. (drown)
6. If Hana doesn’t hurry, they _________ before she comes. (leave)
7. We ___________ the washing by 9 o’clock. (do)","1. will have finished
2. will have spent
3. will have done
4. will have fallen
5. will have drowned
6. will have left
7. will have done"
,Bài tập 2: Chọn đáp án đúng trong mỗi câu sau,"1. I will let you in. I ________ with the food by the time you come in.
A. will have arrived
B. will be arrival
C. will be arrived
2. By the time they get there, the pet store ________ (close).
A. will close
B. will have closed
C. closed
3. I ________ (see) you tomorrow at 4:00 PM.
A. will see
B. see
C. will be seeing
4. The manager ________ by the time the orders come in.
A. will leave
B. will be left
C. will have left
5. If Kai continues drinking so fast, he ________ (drink) the whole bottle by midnight.
A. will drink
B. will have drunk
C. will be drinking","1. will have arrived
2. will have closed
3. will see
4. will have left
5. will have drunk
12.Thì tương lai hoàn thành tiếp diễn
12.
Thì tương lai hoàn thành tiếp diễn
12.1 Tóm tắt kiến thức
12.1 Tóm tắt kiến thức
Cấu trúc
Cấu trúc
Cách dùng
Cách dùng
Diễn tả một hành động/ sự việc đã xảy ra và kéo dài (nhấn mạnh sự tiếp diễn có tính liên tục) cho đến một thời điểm hay khi một hành động khác xảy ra trong tương lai.
=>TRỌN BỘ BÀI TẬP THÌ TƯƠNG LAI HOÀN THÀNH TIẾP DIỄN
12.2 Bài tập về thì tương lai hoàn thành tiếp diễn
12.2 Bài tập về thì tương lai hoàn thành tiếp diễn"
,Bài tập 1: Chia động từ ở trong ngoặc sang thì tương lai hoàn thành tiếp diễn,"1. By the end of the week she ______ (work) here for 5 months.
2. By the end of this month they _______ (live) together for 7 years.
3. By midnight Jim _______ (play) this computer game for 48 hours.
4. By the time we get to Hanoi this evening, we _____ (drive) more than five hundred miles. We are going to be exhausted.
5. She __________ (study) Korean Culture for 4 years by the end of this year.
6. _____ they __________ (talk) for an hour by the time her boyfriend comes back?","1. will have been working
2. will have been living
3. will have been playing
4. will have been driving
5. will have been studying
6. Will they have been talking"
,Bài tập 2: Chọn đáp án đúng trong mỗi câu sau:,"1. Richel wants to speak with you. – Please tell her that I ______ her as soon as I have free time.
A. will call
B. will have called
C. will have been calling
2. Let’s meet at 5 pm tomorrow. – Sorry, I _____ at 5 o’clock.
A. will be working
B. will have worked
C. will have been working
3. Say goodbye to San now. By the time you return, she ______ for Vietnam.
A. will be leaving
B. will have left
C. will have been leaving
4. By 2023, he ______ as the director of this company for 20 years.
A. will work
B. will be working
C. will have been working
5. She promised that she ______ anyone about it.
A. won’t tell
B. wouldn’t tell
C. won’t have told","1. A
2. A
3. B
4. C
5. B
Bài viết đã tổng hợp lại kiến thức cơ bản và cung cấp một số bài tập để các bạn có thể làm quen và ghi nhớ cấu trúc, cách dùng của mỗi thì. Hy vọng phầnbài tập các thì trong tiếng Anhở trên có thể giúp mọi người học tốt hơn!"
,bài tập các thì trong tiếng Anh,Tags:,
